,Compound,Negative,Neutral,Positive,Tweet,Tweet Count,User
23,0.6908,0.769,0.0,0.231,"Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.
👉 https://t.co/0HGlFWkxh8 https://t.co/xJkuJB94rw",100,@BBC
24,0.0,1.0,0.0,0.0,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…",100,@BBC
25,0.0,1.0,0.0,0.0,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",100,@BBC
26,-0.5719,0.778,0.222,0.0,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,100,@BBC
27,0.0018,0.703,0.129,0.168,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like his own...
👉 https://t.co/VUiulpHF0f https://t.co/EXsXx4qhjf",100,@BBC
28,0.0,1.0,0.0,0.0,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",100,@BBC
29,0.0,1.0,0.0,0.0,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…,100,@BBC
30,0.69,0.749,0.0,0.251,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",100,@BBC
31,0.0,1.0,0.0,0.0,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…",100,@BBC
32,-0.6966,0.85,0.15,0.0,"🍓🍒 Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil? 

🎨 The secret symbols in still-life painting.
👉 https://t.co/MwfvxbbRyJ https://t.co/Ta0sVxXzty",100,@BBC
33,-0.8658,0.662,0.338,0.0,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do something about it. https://t.co/wogHvIS0xU",100,@BBC
34,0.0,1.0,0.0,0.0,🗑🤖 This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo,100,@BBC
35,0.34,0.906,0.0,0.094,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…",100,@BBC
36,0.4588,0.769,0.0,0.231,😍🐿 These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh,100,@BBC
37,0.0,1.0,0.0,0.0,"RT @bbcmusic: Jade, this was INCREDIBLE 😍
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu",100,@BBC
38,0.0,1.0,0.0,0.0,🤔 Modern life is a mystery. https://t.co/a4817Iugzz,100,@BBC
39,0.3612,0.894,0.0,0.106,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. 🎶🎤🎉

Sounds Like Friday Night | 7:30pm | @BBCOne | https://t.co/acCxYg6EXI https://t.co/udKDxZOWQN",100,@BBC
40,0.0,1.0,0.0,0.0,RT @bbcpointswest: 🤩 Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials 🤩 https://t.co/ywlHvaHt2z,100,@BBC
41,-0.1531,0.78,0.124,0.096,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob",100,@BBC
42,-0.7777,0.621,0.332,0.047,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…",100,@BBC
43,0.6037,0.64,0.0,0.36,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe",100,@BBC
44,0.8126,0.791,0.0,0.209,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too. 

BBC Young Musician: Forty Years Young | Watch on @BBCiPlayer https://t.co/Mw55P0alyZ",100,@BBC
45,0.0,1.0,0.0,0.0,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…",100,@BBC
46,0.0,1.0,0.0,0.0,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr,100,@BBC
47,0.5499,0.332,0.282,0.385,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs,100,@BBC
48,-0.5849,0.559,0.31,0.13,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…",100,@BBC
49,0.0,1.0,0.0,0.0,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A",100,@BBC
50,-0.4215,0.741,0.171,0.088,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉 https://t.co/i1AXH0ZiTi https://t.co/efLpZCBoMS",100,@BBC
51,0.0,1.0,0.0,0.0,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ,100,@BBC
52,0.2023,0.899,0.0,0.101,💃🕺 Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr,100,@BBC
53,0.8617,0.689,0.0,0.311,"RT @BBCSport: Gareth Evans absolutely loved it! 💪 

This is how it felt to win Wales' first gold! 🥇🏴󠁧󠁢󠁷󠁬󠁳󠁿

#GC2018 #bbcgoldcoast https://t…",100,@BBC
54,0.0,1.0,0.0,0.0,"🦁🦏🐆 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array of exotic creatures, often given as lavish gifts.
👉 https://t.co/GSEWEyEhMN

#Civilisations https://t.co/MUHkbYMTgT",100,@BBC
55,0.0,1.0,0.0,0.0,"😻 Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi",100,@BBC
56,0.0,1.0,0.0,0.0,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz,100,@BBC
57,0.0,1.0,0.0,0.0,RT @BBCBreakfast: All you need to know about the 'sugar tax' and how your favourite soft drink may change. https://t.co/mjFwTN1UHs,100,@BBC
58,0.25,0.905,0.0,0.095,RT @bbcpress: 📸 #FirstLook at Eleanor Tomlinson and Rafe Spall in @BBCOne adaptation of H.G. Wells' #WarOfTheWorlds as filming begins: http…,100,@BBC
59,0.0,1.0,0.0,0.0,"😲🎨🇿🇦 Hotel or modern art museum?
#AmazingHotels https://t.co/Xbmjzviivh",100,@BBC
60,0.4579,0.779,0.067,0.154,"It might not always feel like it, but psychologist @sapinker is convinced that the world is on the up. https://t.co/a8PrDXjDcL",100,@BBC
61,-0.6908,0.824,0.176,0.0,"'There’s the England before Stephen, and there’s the England after Stephen.' 

Stephen: The Murder That Changed a Nation | 9pm 17th April | @BBCOne
#StephenLawrence https://t.co/TEIq2r1TVw",100,@BBC
62,0.7096,0.629,0.0,0.371,"🐆 Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee",100,@BBC
63,0.0,1.0,0.0,0.0,"😋😋 Pocket-friendly recipes for two.
👉 https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF",100,@BBC
64,-0.765,0.68,0.32,0.0,"👀 From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX",100,@BBC
65,0.0,1.0,0.0,0.0,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob,100,@BBC
66,0.0,1.0,0.0,0.0,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specific…",100,@BBC
67,0.0028,0.724,0.118,0.159,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night 🙌💪 
Don't miss it: 7.30pm, Friday, @BBCOne 💫#SLFN https://…",100,@BBC
68,0.4588,0.75,0.0,0.25,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi",100,@BBC
69,-0.2263,0.888,0.112,0.0,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says. 
#HairPolitics https://t.co/ur267YhKEQ",100,@BBC
70,0.0,1.0,0.0,0.0,"📚 A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in this April. 
👉 https://t.co/XbvuSSmzkf https://t.co/uCOXfzZXpo",100,@BBC
71,0.0,1.0,0.0,0.0,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! 🥈 https://t.co/GrailyYrno #bbcgoldcoast https…,100,@BBC
72,0.4215,0.797,0.0,0.203,😍🐿 A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh,100,@BBC
73,0.6027,0.843,0.0,0.157,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plasti…",100,@BBC
74,0.0,1.0,0.0,0.0,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizac…",100,@BBC
75,0.2023,0.924,0.0,0.076,"RT @BBCRadio4: Is @Youtube a form of folk art?
The #Unpopped podcast looks at the rise and dominance of YouTube and YouTubers with @sophieh…",100,@BBC
76,0.3164,0.906,0.0,0.094,"RT @bbcasiannetwork: 🚫It's your last chance to apply for placements at @BBCR1 @1Xtra and Asian Network in our Where It Begins Scheme! 🚫
Wha…",100,@BBC
77,0.0,1.0,0.0,0.0,"RT @bbcthree: ""Let me guess, your name is Singh?"" and other things not to say to Sikh people. https://t.co/tZLfWssxez",100,@BBC
78,-0.128,0.909,0.091,0.0,"RT @BBCSport: It was a tough day in the office for this Cypriot gymnast.

#bbcgoldcoast #GC2018 https://t.co/Xmt9bgMyeQ",100,@BBC
79,-0.4003,0.886,0.114,0.0,"RT @bbcweather: *Public service announcement*
Ladies and gentlemen DO NOT be alarmed! I've checked through our 'big book of weather', and I…",100,@BBC
80,-0.2023,0.625,0.229,0.146,"🐐 No kidding, goat pilates is a real thing. https://t.co/kmuOKupPwB",100,@BBC
81,0.0,1.0,0.0,0.0,"RT @BBCNewsEnts: Florence + The Machine, @DemiLovato @BastilleDan and @QueensChristine have been added to the line-up for @BBCMusic's Bigge…",100,@BBC
82,0.7269,0.643,0.0,0.357,"🎨🌆 Monet in the city: A rarely-seen side of the great Impressionist. 
👉https://t.co/IFaHpevPfG https://t.co/E9UwhYfz32",100,@BBC
83,-0.5994,0.738,0.262,0.0,Doctor Kathryn Mannix on why we need to talk about death. https://t.co/TlFgCB78Lm,100,@BBC
84,0.7906,0.759,0.0,0.241,"Tonight, @PatricKielty explores the legacy of Northern Ireland's peace deal, 20 years on. 

My Dad, the Peace Deal and Me | 9pm | @BBCOne | https://t.co/2s0rxbGw7C https://t.co/q0nqIHY10T",100,@BBC
85,0.4215,0.763,0.0,0.237,This 83-year-old lingerie model has a powerful message about ageing. https://t.co/F0p12gFvFu,100,@BBC
86,0.0,1.0,0.0,0.0,RT @BBC6Music: 😍 Make a date with Cillian Murphy this Friday from 7-9pm BST as he sits in for @IggyPop. Listen worldwide https://t.co/Dd2ji…,100,@BBC
87,-0.1531,0.938,0.062,0.0,"Don’t miss the highlights of the #CommonwealthGames Opening Ceremony from Australia’s Gold Coast.  🏸🏊‍♀️🤸 #GC2018 

Commonwealth Games: Today at the Games | 7pm | @BBCTwo | https://t.co/VaYsLadVDL https://t.co/cmYrFDTwIB",100,@BBC
88,0.0,1.0,0.0,0.0,Does your name match your face? https://t.co/N2kzChM8dc,100,@BBC
89,0.0,1.0,0.0,0.0,"Animal cloning is becoming more common – and cloning extinct species could be on the horizon. 

Could parks and zoos for these creatures be round the corner?
👉 https://t.co/fqQ7IgFGoX https://t.co/UJzuLIUdyo",100,@BBC
90,0.0,1.0,0.0,0.0,"🍕😂 A Canadian man has been 'pardoned' by a luxury hotel after his room was ransacked by a flock of pepperoni-loving seagulls nearly two decades ago.
👉 https://t.co/pi0vYZ3AjX https://t.co/EqxGKfyHQj",100,@BBC
91,-0.296,0.879,0.121,0.0,"RT @BBCYoungMus: The search for the next #bbcyoungmusician begins this Friday with 5 incredible strings finalists@BBCFOUR,7.30. Missed our…",100,@BBC
92,0.636,0.729,0.0,0.271,"🚨😱 Who's excited to see @LittleMix on Sounds Like Friday Night!?

#SLFN | @BBCOne | Friday, 7.30pm https://t.co/474h2EwXjv",100,@BBC
93,0.0,1.0,0.0,0.0,"RT @BBCWomansHour: Today #MayaAngelou would have turned 90 🎈 Poet, director, ambassador, actor and civil-rights activist were just a few of…",100,@BBC
94,0.1531,0.897,0.0,0.103,"You can't be 'a bit OCD'.

Challenging some of the common misconceptions about #OCD. https://t.co/nGIf4mMJc4",100,@BBC
95,0.34,0.902,0.0,0.098,"The Games are here. But how much do you really know about the Commonwealth? 
Play our quiz to find out. 
👉 https://t.co/nGmCLzoQug

#CommonwealthGames https://t.co/L8IUNau33R",100,@BBC
96,0.4019,0.891,0.0,0.109,"RT @BBCArchive: Dr Martin Luther King speaking with John Freeman on Face to Face.
You can watch the interview in full here: https://t.co/BX…",100,@BBC
97,0.25,0.929,0.0,0.071,"RT @VictoriaLIVE: ""How will the dream live on in me, in you, in all of us?""

@Oprah Winfrey pays tribute to the civil rights leader Dr Mart…",100,@BBC
98,0.0,1.0,0.0,0.0,"RT @bbcthesocial: You're never too old for a selfie ❤️

@Antonis95K https://t.co/VHihA5XOrY",100,@BBC
99,-0.5423,0.791,0.209,0.0,"😁😂 A police force's e-fit of a burglary suspect has been mocked for its resemblance to the Cheshire Cat.
👉 https://t.co/pLANmk7M4N https://t.co/ehZenLAOTz",100,@BBC
